Perimeter;Major_Axis_Length;Minor_Axis_Length;Eccentricity;Convex_Area;Extent;Class
40;16;86;84;1125;79;Osmancik
41;17;81;88;1127;58;Osmancik
42;17;83;87;1147;60;Osmancik
41;17;84;86;1129;76;Osmancik
42;17;80;89;1131;73;Osmancik
41;17;82;87;1133;60;Osmancik
40;16;86;85;1131;62;Osmancik
41;17;83;87;1134;63;Osmancik
42;17;80;89;1142;79;Osmancik
41;17;82;88;1131;76;Osmancik
41;16;87;84;1137;71;Osmancik
42;18;79;89;1136;76;Osmancik
42;17;82;87;1140;64;Osmancik
44;18;79;90;1140;55;Cammeo
42;17;82;87;1137;59;Osmancik
41;16;85;86;1132;78;Osmancik
43;18;77;90;1128;55;Osmancik
42;17;81;88;1147;57;Osmancik
41;17;84;86;1138;78;Osmancik
41;17;82;87;1137;70;Osmancik
42;17;82;87;1138;71;Osmancik
41;17;83;87;1144;62;Osmancik
42;17;80;89;1134;58;Osmancik
41;17;83;87;1128;60;Osmancik
43;18;79;89;1137;79;Cammeo
41;16;87;84;1137;63;Osmancik
42;18;78;90;1133;68;Osmancik
42;16;85;86;1136;77;Osmancik
42;17;84;86;1137;63;Osmancik
42;17;79;89;1130;58;Osmancik
41;16;84;86;1133;71;Osmancik
41;16;87;84;1139;75;Osmancik
41;16;86;85;1132;69;Osmancik
41;16;85;86;1142;72;Osmancik
43;19;74;92;1132;66;Cammeo
42;17;80;89;1137;72;Osmancik
42;17;82;88;1150;60;Osmancik
43;18;78;90;1149;61;Cammeo
42;16;85;86;1136;68;Osmancik
42;17;82;88;1146;64;Osmancik
41;16;87;85;1147;67;Osmancik
41;17;84;87;1143;60;Osmancik
44;18;79;90;1162;54;Osmancik
43;18;75;91;1133;53;Osmancik
42;17;81;88;1139;80;Osmancik
43;17;83;88;1160;67;Osmancik
42;17;82;88;1143;58;Osmancik
41;17;83;87;1138;79;Osmancik
41;16;87;85;1150;60;Osmancik
41;17;84;86;1144;73;Osmancik
41;16;85;86;1135;77;Osmancik
42;17;81;88;1135;57;Osmancik
42;17;82;88;1151;72;Osmancik
42;17;84;86;1140;79;Osmancik
42;18;79;89;1138;67;Osmancik
41;17;83;87;1132;61;Osmancik
41;17;83;87;1134;60;Osmancik
41;17;83;87;1134;64;Osmancik
41;17;84;86;1137;62;Osmancik
41;16;86;85;1153;76;Osmancik
42;17;81;88;1142;59;Osmancik
43;18;78;90;1135;78;Osmancik
42;17;81;88;1145;64;Osmancik
42;17;81;88;1146;56;Osmancik
42;17;85;86;1140;80;Osmancik
42;17;82;88;1142;58;Osmancik
42;17;83;87;1138;59;Osmancik
41;17;84;87;1138;75;Osmancik
42;17;82;88;1140;57;Osmancik
42;17;84;86;1158;60;Osmancik
42;18;79;89;1145;63;Osmancik
41;16;88;83;1140;64;Osmancik
41;16;84;86;1140;80;Osmancik
42;17;79;89;1137;58;Osmancik
42;16;86;85;1154;77;Osmancik
43;18;80;89;1148;70;Osmancik
41;17;83;87;1138;60;Osmancik
41;16;85;86;1145;76;Osmancik
42;17;83;87;1154;71;Osmancik
41;16;85;86;1142;77;Osmancik
42;18;79;89;1141;71;Osmancik
41;16;87;85;1151;63;Osmancik
42;17;80;89;1143;59;Osmancik
42;17;83;87;1146;60;Osmancik
42;18;78;90;1142;72;Osmancik
42;18;80;89;1142;59;Osmancik
42;17;82;88;1145;65;Osmancik
42;17;84;87;1144;60;Osmancik
42;17;80;89;1143;59;Osmancik
41;17;85;86;1160;62;Osmancik
42;17;82;88;1142;60;Osmancik
43;18;77;90;1149;56;Osmancik
41;16;85;86;1139;62;Osmancik
41;17;83;87;1140;64;Osmancik
42;18;80;89;1140;77;Osmancik
43;17;81;89;1152;73;Osmancik
41;16;86;85;1142;63;Osmancik
42;17;82;88;1147;68;Osmancik
41;17;82;87;1143;69;Osmancik
41;17;82;88;1140;78;Osmancik
42;17;84;86;1152;71;Osmancik
41;16;86;85;1142;62;Osmancik
42;16;86;85;1156;61;Osmancik
41;16;87;84;1159;63;Osmancik
43;18;79;89;1140;56;Osmancik
42;17;84;86;1153;76;Osmancik
42;17;84;87;1155;75;Osmancik
44;18;76;91;1150;77;Osmancik
42;17;84;87;1152;79;Osmancik
42;17;84;87;1147;73;Osmancik
42;17;81;88;1151;79;Osmancik
41;16;87;84;1145;61;Osmancik
42;17;86;86;1157;74;Osmancik
42;17;85;86;1157;60;Osmancik
42;17;83;87;1144;61;Osmancik
40;15;91;81;1146;67;Osmancik
43;18;77;90;1144;61;Osmancik
42;17;83;87;1152;65;Osmancik
42;17;82;88;1153;63;Osmancik
42;17;82;87;1145;74;Osmancik
41;16;87;85;1159;64;Osmancik
42;17;86;86;1164;62;Osmancik
43;17;83;87;1163;73;Osmancik
42;16;86;85;1165;66;Osmancik
42;17;85;86;1158;64;Osmancik
42;17;85;86;1151;60;Osmancik
42;17;85;86;1154;68;Osmancik
40;16;90;82;1148;67;Osmancik
42;17;82;88;1152;75;Osmancik
42;17;82;88;1146;81;Osmancik
41;17;85;86;1155;66;Osmancik
42;17;85;86;1159;59;Osmancik
42;17;84;87;1166;59;Osmancik
42;18;80;89;1142;57;Osmancik
43;17;82;88;1158;65;Osmancik
42;17;81;88;1147;74;Osmancik
41;17;83;87;1147;76;Osmancik
43;17;81;89;1151;69;Osmancik
42;16;87;85;1162;61;Osmancik
41;17;84;87;1148;62;Osmancik
41;16;88;84;1153;62;Osmancik
43;18;79;90;1165;72;Osmancik
42;17;84;87;1166;61;Osmancik
42;17;84;86;1148;64;Osmancik
41;16;87;84;1157;61;Osmancik
41;17;84;87;1150;62;Osmancik
41;16;86;85;1159;62;Osmancik
42;16;87;85;1156;76;Osmancik
42;17;83;87;1152;61;Osmancik
42;17;85;86;1162;64;Osmancik
41;17;84;86;1150;72;Osmancik
43;18;80;89;1166;71;Osmancik
42;17;82;88;1149;65;Osmancik
42;17;83;87;1149;73;Osmancik
42;17;83;88;1150;81;Osmancik
42;17;84;87;1162;71;Osmancik
42;16;87;85;1162;76;Osmancik
42;17;81;88;1148;76;Osmancik
41;17;85;86;1149;60;Osmancik
42;17;82;88;1154;75;Osmancik
42;16;86;86;1147;61;Osmancik
42;17;83;87;1162;58;Osmancik
41;16;88;84;1156;74;Osmancik
42;17;84;87;1155;59;Osmancik
42;17;84;87;1163;62;Osmancik
41;16;88;84;1154;65;Osmancik
41;16;88;84;1161;75;Osmancik
43;18;82;89;1165;65;Osmancik
41;16;85;86;1151;61;Osmancik
42;16;86;86;1158;71;Osmancik
42;16;86;86;1162;60;Osmancik
41;17;84;87;1149;80;Osmancik
42;16;86;85;1165;71;Osmancik
42;17;82;88;1147;59;Osmancik
41;16;86;86;1154;78;Osmancik
41;17;84;87;1156;80;Osmancik
44;19;75;92;1167;67;Cammeo
42;17;84;87;1162;59;Osmancik
42;17;83;87;1156;59;Osmancik
43;17;82;88;1156;71;Osmancik
42;17;85;87;1161;66;Osmancik
42;17;83;87;1161;59;Osmancik
41;17;83;87;1147;81;Osmancik
43;18;78;90;1150;65;Osmancik
42;17;82;88;1148;82;Osmancik
42;17;82;88;1153;59;Osmancik
42;17;85;86;1153;67;Osmancik
42;16;86;86;1163;63;Osmancik
43;18;80;89;1166;76;Osmancik
42;17;81;88;1153;57;Osmancik
44;18;77;91;1153;57;Osmancik
41;17;84;86;1149;73;Osmancik
42;17;83;87;1151;60;Osmancik
44;19;74;92;1154;58;Cammeo
44;18;78;90;1177;67;Osmancik
41;17;85;86;1154;74;Osmancik
42;17;85;86;1158;78;Osmancik
43;18;80;89;1157;71;Cammeo
41;16;87;85;1158;64;Osmancik
41;16;86;86;1151;62;Osmancik
42;17;85;86;1170;72;Osmancik
42;17;85;86;1169;61;Osmancik
42;17;81;89;1154;59;Osmancik
43;17;82;88;1154;75;Osmancik
42;17;85;86;1163;64;Osmancik
44;18;78;90;1175;58;Cammeo
42;17;85;86;1158;61;Osmancik
42;17;85;86;1166;65;Osmancik
41;16;86;85;1159;63;Osmancik
41;17;86;86;1169;69;Osmancik
42;17;83;87;1154;79;Osmancik
42;18;80;89;1155;58;Osmancik
42;17;81;89;1149;65;Osmancik
42;17;85;86;1159;61;Osmancik
43;17;81;88;1173;60;Osmancik
44;18;77;91;1167;58;Osmancik
43;17;81;89;1160;57;Osmancik
45;20;72;93;1155;52;Cammeo
45;20;72;93;1157;75;Cammeo
42;17;85;86;1174;73;Osmancik
42;17;81;88;1153;59;Osmancik
43;18;80;89;1173;59;Osmancik
42;17;85;86;1162;67;Osmancik
43;17;85;87;1169;60;Osmancik
41;16;86;86;1157;62;Osmancik
43;18;82;88;1177;75;Osmancik
41;16;89;83;1176;64;Osmancik
45;19;75;92;1161;51;Cammeo
43;17;83;88;1171;68;Osmancik
43;18;80;89;1161;56;Osmancik
43;18;78;90;1162;77;Osmancik
42;17;85;86;1163;59;Osmancik
42;17;85;86;1170;67;Osmancik
42;17;84;87;1160;60;Osmancik
42;17;82;88;1162;69;Osmancik
41;16;88;84;1163;69;Osmancik
41;16;88;85;1154;78;Osmancik
42;16;86;85;1158;62;Osmancik
44;19;76;91;1169;64;Cammeo
43;17;82;88;1161;75;Osmancik
42;17;85;86;1172;75;Osmancik
43;17;81;88;1162;59;Osmancik
43;18;81;89;1171;61;Osmancik
43;18;79;90;1158;64;Cammeo
42;17;83;87;1163;59;Osmancik
42;17;85;86;1168;69;Osmancik
43;18;80;90;1174;79;Osmancik
42;17;85;86;1173;69;Osmancik
42;17;85;87;1163;59;Osmancik
41;17;86;86;1158;63;Osmancik
43;18;79;90;1160;63;Osmancik
43;17;83;87;1173;66;Osmancik
44;18;77;91;1161;55;Cammeo
42;16;87;85;1166;61;Osmancik
41;16;88;84;1162;70;Osmancik
41;16;88;85;1168;61;Osmancik
42;17;82;88;1166;68;Osmancik
42;17;82;88;1160;65;Osmancik
41;16;87;85;1171;65;Osmancik
41;16;87;85;1158;62;Osmancik
42;17;86;86;1170;66;Osmancik
42;17;85;86;1169;62;Osmancik
42;17;84;87;1171;60;Osmancik
42;16;87;85;1167;72;Osmancik
40;16;90;82;1159;80;Osmancik
42;17;84;87;1166;80;Osmancik
43;18;79;90;1158;68;Osmancik
43;17;83;88;1176;74;Osmancik
42;17;87;85;1175;66;Osmancik
42;17;87;85;1181;61;Osmancik
41;17;85;86;1162;68;Osmancik
42;17;82;88;1161;62;Osmancik
42;17;84;87;1164;63;Osmancik
42;17;84;87;1163;65;Osmancik
42;17;86;86;1173;61;Osmancik
44;19;79;90;1175;54;Cammeo
43;18;82;88;1173;57;Osmancik
41;16;91;83;1183;73;Osmancik
41;15;94;79;1169;72;Osmancik
42;17;84;87;1166;60;Osmancik
41;17;84;87;1160;82;Osmancik
42;17;84;87;1164;73;Osmancik
40;15;92;81;1163;77;Osmancik
41;16;87;85;1166;75;Osmancik
43;17;83;88;1173;76;Osmancik
43;17;85;87;1183;58;Osmancik
43;18;81;89;1172;69;Osmancik
42;17;84;87;1165;79;Osmancik
42;17;85;86;1171;69;Osmancik
41;16;92;81;1170;75;Osmancik
41;16;88;85;1168;75;Osmancik
42;17;84;87;1167;73;Osmancik
43;18;82;89;1172;65;Osmancik
44;19;77;91;1173;56;Osmancik
42;17;85;87;1170;78;Osmancik
42;17;85;87;1176;63;Osmancik
42;17;83;87;1171;73;Osmancik
42;17;82;88;1166;65;Osmancik
42;17;83;87;1161;74;Osmancik
44;18;80;90;1181;75;Osmancik
42;16;88;85;1184;62;Osmancik
42;17;85;86;1167;79;Osmancik
42;17;83;88;1173;61;Osmancik
41;17;86;86;1167;78;Osmancik
42;17;86;86;1178;64;Osmancik
43;17;85;87;1183;59;Osmancik
41;17;86;86;1167;74;Osmancik
42;17;85;87;1177;77;Osmancik
43;18;79;90;1166;57;Osmancik
42;17;84;87;1168;60;Osmancik
41;17;83;87;1161;79;Osmancik
42;17;85;86;1175;60;Osmancik
42;17;83;87;1161;77;Osmancik
42;17;85;87;1169;64;Osmancik
41;17;86;86;1166;75;Osmancik
43;18;81;89;1168;79;Osmancik
44;18;82;89;1191;55;Osmancik
42;16;88;84;1179;75;Osmancik
44;17;83;88;1202;56;Osmancik
42;17;85;86;1173;61;Osmancik
44;18;80;89;1181;66;Cammeo
41;16;89;84;1174;78;Osmancik
44;18;79;90;1180;57;Cammeo
43;17;86;86;1185;75;Osmancik
44;18;79;90;1175;75;Osmancik
43;17;82;88;1182;57;Osmancik
42;17;86;86;1183;78;Osmancik
44;17;84;88;1207;58;Osmancik
43;18;81;89;1187;58;Osmancik
42;18;81;89;1167;67;Osmancik
42;17;85;86;1177;63;Osmancik
42;17;85;87;1176;59;Osmancik
42;17;83;88;1171;77;Osmancik
42;16;88;85;1177;62;Osmancik
43;17;84;87;1186;58;Osmancik
44;18;79;90;1174;55;Osmancik
43;18;80;90;1167;71;Osmancik
43;18;80;89;1167;61;Osmancik
42;17;83;88;1177;78;Osmancik
43;17;83;88;1179;58;Osmancik
43;18;82;88;1182;76;Cammeo
43;18;81;89;1173;57;Osmancik
43;18;81;89;1180;65;Osmancik
41;16;88;84;1170;77;Osmancik
42;17;85;86;1180;69;Osmancik
43;18;77;91;1173;68;Cammeo
42;17;83;88;1167;80;Osmancik
42;17;84;87;1175;66;Osmancik
42;17;84;87;1173;59;Osmancik
44;18;81;89;1181;78;Osmancik
43;18;80;90;1169;61;Osmancik
43;17;83;88;1179;64;Osmancik
43;18;81;89;1177;78;Osmancik
42;16;88;85;1174;71;Osmancik
45;19;75;92;1191;70;Cammeo
42;17;83;88;1168;80;Osmancik
44;18;79;90;1191;60;Osmancik
42;16;88;85;1179;63;Osmancik
42;17;85;87;1177;73;Osmancik
42;16;87;85;1179;66;Osmancik
42;17;87;86;1189;60;Osmancik
42;17;83;88;1173;74;Osmancik
44;18;78;90;1185;57;Cammeo
41;17;86;86;1174;71;Osmancik
43;17;83;88;1178;70;Osmancik
42;17;86;86;1176;64;Osmancik
42;17;86;86;1176;60;Osmancik
42;17;85;87;1182;74;Osmancik
42;17;84;87;1173;62;Osmancik
42;17;87;85;1181;69;Osmancik
43;17;82;88;1178;60;Osmancik
43;17;86;86;1194;69;Osmancik
42;17;85;87;1185;67;Osmancik
42;17;87;85;1180;65;Osmancik
43;17;85;87;1191;65;Osmancik
42;16;89;84;1192;63;Osmancik
42;17;84;87;1181;70;Osmancik
42;17;84;87;1175;60;Osmancik
42;17;82;88;1169;59;Osmancik
43;17;84;87;1182;68;Osmancik
44;17;84;88;1196;59;Cammeo
42;17;85;87;1180;63;Osmancik
43;17;88;85;1191;62;Osmancik
42;17;87;86;1177;69;Osmancik
42;17;86;86;1176;61;Osmancik
42;17;85;86;1173;69;Osmancik
43;17;84;88;1183;63;Osmancik
43;17;84;88;1184;58;Osmancik
42;17;87;85;1184;60;Osmancik
43;18;80;89;1172;80;Osmancik
43;17;83;88;1179;66;Osmancik
42;17;87;86;1184;69;Osmancik
42;17;85;87;1173;75;Osmancik
42;17;86;86;1183;61;Osmancik
42;18;81;89;1173;76;Osmancik
42;17;85;87;1180;60;Osmancik
42;17;83;88;1179;75;Osmancik
43;18;80;89;1173;61;Osmancik
43;18;80;89;1174;66;Cammeo
41;16;90;83;1186;66;Osmancik
42;17;84;87;1182;60;Osmancik
44;18;80;90;1188;57;Osmancik
43;17;83;88;1181;75;Cammeo
41;16;89;84;1174;80;Osmancik
43;18;82;88;1174;61;Osmancik
42;17;86;86;1192;74;Osmancik
43;18;82;89;1186;68;Osmancik
43;17;87;85;1189;61;Osmancik
42;17;87;86;1193;60;Osmancik
42;16;88;85;1182;61;Osmancik
42;17;86;86;1177;61;Osmancik
44;19;75;92;1178;56;Cammeo
43;17;84;87;1188;72;Osmancik
42;17;83;88;1176;75;Osmancik
43;17;83;88;1184;72;Osmancik
44;18;78;91;1180;63;Osmancik
43;18;81;89;1184;69;Osmancik
43;17;84;88;1196;60;Osmancik
43;18;82;88;1180;60;Osmancik
43;18;82;89;1178;61;Osmancik
43;17;86;86;1191;77;Osmancik
41;16;89;84;1178;64;Osmancik
44;19;78;91;1192;57;Osmancik
43;18;79;90;1175;72;Osmancik
42;17;84;87;1180;80;Osmancik
43;17;86;86;1200;68;Osmancik
42;17;85;87;1193;60;Osmancik
42;17;86;86;1178;79;Osmancik
43;18;80;90;1175;83;Osmancik
42;17;87;86;1184;64;Osmancik
43;17;84;88;1177;69;Osmancik
43;18;81;89;1181;81;Osmancik
41;16;88;85;1180;67;Osmancik
41;16;88;84;1182;76;Osmancik
43;17;83;88;1182;61;Osmancik
43;17;83;88;1182;76;Osmancik
44;19;77;91;1181;66;Osmancik
40;15;96;77;1179;81;Osmancik
44;18;79;90;1184;61;Osmancik
42;17;86;86;1194;60;Osmancik
41;16;89;84;1185;63;Osmancik
42;17;83;88;1179;62;Osmancik
42;16;90;84;1199;76;Osmancik
45;19;79;90;1197;58;Osmancik
43;18;79;90;1183;72;Cammeo
43;17;86;87;1183;59;Osmancik
42;16;89;84;1190;69;Osmancik
42;16;89;84;1185;63;Osmancik
43;17;84;88;1197;58;Osmancik
42;17;87;86;1176;78;Osmancik
44;18;80;90;1186;79;Osmancik
42;17;88;85;1196;70;Osmancik
43;17;84;88;1192;66;Osmancik
44;19;75;92;1184;52;Osmancik
45;19;76;91;1184;54;Cammeo
43;17;83;88;1194;59;Osmancik
42;17;87;86;1183;70;Osmancik
43;17;84;88;1194;69;Osmancik
42;17;87;85;1194;73;Osmancik
44;18;80;90;1185;60;Osmancik
43;17;84;87;1190;62;Osmancik
42;16;89;84;1206;73;Osmancik
42;17;87;86;1198;63;Osmancik
43;17;85;87;1195;59;Osmancik
43;17;84;88;1194;60;Osmancik
42;17;88;85;1196;68;Osmancik
44;17;83;88;1202;59;Osmancik
42;17;87;86;1191;60;Osmancik
42;17;87;85;1201;63;Osmancik
44;18;81;90;1197;68;Osmancik
43;17;84;88;1197;61;Osmancik
41;16;88;85;1181;78;Osmancik
43;18;81;89;1189;64;Osmancik
43;17;87;86;1197;61;Osmancik
44;18;80;90;1203;66;Cammeo
43;17;86;86;1188;77;Osmancik
41;17;87;85;1184;76;Osmancik
43;17;87;86;1210;66;Osmancik
45;19;75;92;1211;64;Cammeo
43;17;84;87;1189;67;Osmancik
43;17;84;87;1184;59;Osmancik
43;17;83;88;1194;65;Osmancik
42;17;85;87;1186;64;Osmancik
42;17;86;86;1188;73;Osmancik
42;17;86;86;1183;62;Osmancik
43;18;83;88;1194;56;Osmancik
41;17;87;85;1185;79;Osmancik
43;18;81;89;1185;59;Osmancik
42;17;85;86;1183;60;Osmancik
42;16;89;84;1196;71;Osmancik
43;17;86;87;1196;58;Osmancik
43;17;85;87;1203;78;Osmancik
44;18;83;88;1202;57;Osmancik
44;19;78;91;1193;54;Cammeo
43;18;81;89;1185;57;Osmancik
43;18;82;89;1184;57;Osmancik
42;17;85;87;1190;61;Osmancik
42;17;84;87;1184;60;Osmancik
44;18;81;89;1206;57;Osmancik
43;18;82;88;1189;76;Cammeo
43;17;85;87;1187;68;Osmancik
43;18;82;89;1184;79;Osmancik
44;18;80;90;1195;73;Osmancik
42;17;88;85;1193;62;Osmancik
43;17;85;87;1200;58;Osmancik
43;17;83;88;1198;73;Osmancik
43;18;81;89;1188;76;Osmancik
43;17;84;87;1197;59;Cammeo
42;16;91;83;1202;65;Osmancik
43;18;82;89;1192;58;Osmancik
42;17;85;87;1194;62;Osmancik
43;18;81;89;1188;61;Osmancik
42;17;85;86;1191;61;Osmancik
42;17;86;86;1188;73;Osmancik
42;17;84;88;1190;59;Osmancik
44;19;79;90;1190;59;Osmancik
42;17;85;87;1186;81;Osmancik
41;16;93;81;1188;76;Osmancik
43;18;82;89;1194;60;Osmancik
43;17;87;86;1200;77;Osmancik
42;17;89;85;1206;64;Osmancik
43;17;86;87;1194;65;Osmancik
43;18;82;89;1196;56;Osmancik
44;18;80;90;1213;63;Cammeo
42;16;93;82;1215;72;Osmancik
43;18;82;89;1196;64;Osmancik
43;17;86;87;1200;69;Osmancik
43;18;83;88;1192;68;Osmancik
42;17;88;85;1191;77;Osmancik
44;18;81;89;1195;57;Osmancik
42;17;85;87;1189;61;Osmancik
42;17;85;87;1191;80;Osmancik
43;17;85;87;1201;66;Osmancik
42;17;86;86;1195;63;Osmancik
45;18;80;90;1206;55;Osmancik
42;17;87;86;1191;62;Osmancik
42;17;85;87;1190;59;Osmancik
43;17;86;86;1205;62;Osmancik
44;17;86;87;1207;63;Osmancik
42;17;86;86;1190;63;Osmancik
43;18;82;89;1195;68;Cammeo
43;18;82;89;1187;79;Osmancik
43;17;86;87;1197;64;Osmancik
45;19;78;91;1195;71;Cammeo
44;18;80;90;1211;54;Cammeo
43;17;84;88;1203;77;Osmancik
43;17;89;85;1196;58;Osmancik
44;18;83;88;1203;57;Osmancik
44;18;82;89;1221;57;Osmancik
42;17;88;85;1195;63;Osmancik
43;18;83;89;1197;58;Osmancik
43;18;83;89;1201;57;Osmancik
43;17;86;87;1207;73;Osmancik
42;17;84;88;1190;68;Osmancik
45;19;77;91;1195;55;Cammeo
43;17;87;86;1209;71;Osmancik
43;18;81;89;1192;58;Osmancik
45;19;78;91;1193;54;Cammeo
43;17;85;87;1205;65;Osmancik
44;19;79;90;1192;80;Osmancik
45;19;78;91;1200;60;Osmancik
42;17;84;88;1186;60;Osmancik
42;17;89;85;1208;64;Osmancik
42;17;88;85;1199;69;Osmancik
42;17;85;87;1191;65;Osmancik
43;18;82;89;1196;65;Osmancik
44;18;82;89;1196;60;Osmancik
43;17;85;87;1219;76;Osmancik
42;17;87;86;1194;69;Osmancik
42;16;89;84;1201;67;Osmancik
43;17;86;87;1205;63;Osmancik
42;17;88;85;1212;68;Osmancik
43;17;88;85;1201;62;Osmancik
42;17;86;86;1196;61;Osmancik
42;17;86;86;1196;61;Osmancik
42;17;88;85;1195;63;Osmancik
43;17;83;88;1199;75;Osmancik
42;17;85;87;1192;79;Osmancik
42;17;88;85;1200;62;Osmancik
42;17;85;87;1193;59;Osmancik
44;18;81;90;1210;61;Cammeo
43;18;83;88;1191;79;Osmancik
43;18;82;89;1193;65;Osmancik
43;18;83;88;1198;57;Osmancik
43;17;87;86;1200;60;Osmancik
44;18;81;89;1210;56;Cammeo
43;18;84;88;1203;79;Osmancik
43;17;87;86;1201;61;Osmancik
43;17;87;86;1210;66;Osmancik
44;19;78;91;1191;58;Osmancik
43;18;83;88;1197;80;Osmancik
44;19;78;91;1195;78;Osmancik
43;18;83;89;1208;75;Osmancik
43;18;82;89;1198;61;Osmancik
45;19;79;91;1210;67;Cammeo
42;17;88;85;1203;73;Osmancik
43;18;83;88;1198;80;Cammeo
42;17;88;85;1194;62;Osmancik
43;18;83;88;1196;74;Osmancik
43;18;83;88;1199;60;Osmancik
44;18;82;89;1210;59;Osmancik
44;18;81;89;1201;62;Osmancik
42;18;83;88;1192;71;Osmancik
41;16;93;81;1202;66;Osmancik
45;19;78;91;1211;65;Cammeo
43;17;84;87;1205;75;Cammeo
43;17;86;87;1211;59;Osmancik
42;16;89;84;1202;76;Osmancik
44;18;80;90;1208;63;Osmancik
42;17;86;87;1201;73;Osmancik
45;19;77;91;1198;57;Cammeo
43;17;86;86;1202;62;Osmancik
46;20;76;92;1213;54;Cammeo
43;17;85;87;1200;61;Osmancik
45;18;83;89;1231;64;Cammeo
43;17;89;85;1212;61;Osmancik
44;18;80;90;1197;57;Osmancik
42;17;89;85;1206;64;Osmancik
43;17;88;86;1208;71;Osmancik
42;17;86;87;1200;78;Osmancik
42;17;87;86;1197;73;Osmancik
45;20;75;92;1210;73;Cammeo
43;17;85;87;1199;70;Osmancik
44;18;81;89;1206;74;Osmancik
45;19;79;90;1207;76;Osmancik
42;17;84;88;1197;65;Osmancik
43;17;86;86;1211;71;Osmancik
43;17;86;87;1219;77;Osmancik
43;18;83;88;1204;73;Osmancik
45;19;78;91;1221;76;Cammeo
43;18;82;89;1202;61;Osmancik
42;16;92;83;1211;77;Osmancik
41;16;90;84;1202;66;Osmancik
43;18;84;88;1201;63;Osmancik
45;20;75;92;1208;75;Cammeo
44;18;83;88;1216;60;Cammeo
42;16;90;83;1202;79;Osmancik
43;17;86;87;1203;62;Osmancik
44;18;80;90;1204;63;Osmancik
44;19;78;91;1201;57;Cammeo
43;18;82;89;1201;57;Osmancik
43;17;86;87;1204;60;Osmancik
43;18;84;88;1207;79;Osmancik
44;17;86;87;1220;78;Osmancik
44;19;79;91;1202;71;Cammeo
45;20;75;92;1202;71;Cammeo
43;17;88;86;1218;61;Osmancik
43;17;87;86;1217;60;Osmancik
43;17;86;87;1217;71;Osmancik
43;18;82;89;1201;56;Osmancik
44;18;83;89;1221;76;Cammeo
43;18;82;89;1204;64;Osmancik
42;16;89;85;1205;70;Osmancik
43;17;88;86;1214;71;Osmancik
42;17;85;87;1203;70;Osmancik
42;17;87;86;1206;61;Osmancik
43;17;86;87;1215;58;Osmancik
43;17;86;87;1214;76;Osmancik
42;17;89;85;1208;64;Osmancik
43;17;87;86;1221;61;Osmancik
43;18;81;89;1200;68;Osmancik
43;17;85;87;1212;64;Osmancik
43;17;86;87;1214;62;Osmancik
43;17;86;87;1214;77;Osmancik
42;18;84;88;1204;64;Osmancik
43;17;86;87;1208;60;Osmancik
43;17;87;86;1216;65;Osmancik
43;17;87;87;1213;73;Cammeo
43;17;86;87;1209;72;Osmancik
42;17;88;86;1212;78;Osmancik
42;17;87;86;1204;69;Osmancik
44;18;81;90;1209;65;Osmancik
43;18;83;89;1209;58;Osmancik
42;17;88;86;1221;64;Osmancik
42;17;89;85;1206;77;Osmancik
44;19;79;91;1210;55;Cammeo
42;17;89;85;1217;76;Osmancik
44;18;82;89;1205;56;Osmancik
43;17;86;87;1220;67;Osmancik
43;17;89;85;1218;62;Osmancik
42;17;89;85;1216;61;Osmancik
44;17;85;87;1218;76;Osmancik
42;17;88;86;1211;61;Osmancik
43;18;82;89;1209;79;Osmancik
43;17;85;87;1213;71;Osmancik
43;17;87;86;1214;68;Osmancik
44;18;81;90;1212;55;Osmancik
43;17;87;86;1217;61;Osmancik
43;17;87;86;1224;77;Osmancik
44;18;84;88;1209;57;Osmancik
42;17;85;87;1207;79;Osmancik
45;19;78;91;1213;54;Cammeo
42;16;92;83;1213;76;Osmancik
42;16;91;83;1206;66;Osmancik
44;18;83;89;1211;60;Osmancik
43;17;88;86;1217;58;Osmancik
45;19;78;91;1221;70;Osmancik
43;18;84;88;1210;68;Osmancik
43;17;89;85;1222;73;Osmancik
44;18;83;89;1220;62;Osmancik
43;17;88;86;1217;62;Osmancik
43;17;85;87;1219;60;Osmancik
44;18;82;89;1220;56;Osmancik
44;18;82;89;1215;76;Osmancik
44;18;81;89;1228;58;Osmancik
43;17;88;86;1216;68;Osmancik
43;17;86;87;1211;79;Osmancik
42;17;88;85;1219;77;Osmancik
44;18;82;89;1211;58;Osmancik
43;17;86;87;1211;72;Osmancik
43;17;85;88;1222;60;Osmancik
43;17;90;85;1221;71;Osmancik
43;17;86;87;1210;62;Osmancik
43;17;87;86;1218;64;Osmancik
43;17;85;87;1219;63;Osmancik
43;17;89;85;1216;61;Osmancik
43;17;87;86;1215;60;Osmancik
42;16;91;84;1216;65;Osmancik
43;18;83;89;1209;76;Osmancik
43;17;88;86;1218;62;Osmancik
43;18;84;88;1208;60;Osmancik
43;18;83;88;1211;58;Osmancik
43;17;88;85;1218;61;Osmancik
43;17;89;85;1230;75;Osmancik
42;17;87;86;1212;62;Osmancik
43;18;85;88;1221;59;Osmancik
43;17;90;85;1219;63;Osmancik
43;17;86;87;1223;69;Osmancik
43;17;87;86;1226;59;Osmancik
43;17;87;86;1226;64;Osmancik
44;18;82;89;1217;64;Cammeo
43;17;86;87;1215;59;Osmancik
43;17;85;87;1211;79;Osmancik
46;19;79;91;1235;56;Cammeo
